#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
ECFFIKGN_00417,1123377.AUIV01000004_gene1883,7.65e-81,244,"COG2096@1|root,COG2096@2|Bacteria,1RDUF@1224|Proteobacteria,1S40D@1236|Gammaproteobacteria,1X50D@135614|Xanthomonadales",135614|Xanthomonadales,S,adenosyltransferase,-,-,2.5.1.17,ko:K00798,"ko00860,ko01100,map00860,map01100",M00122,"R01492,R05220,R07268",RC00533,"ko00000,ko00001,ko00002,ko01000",-,-,-,Cob_adeno_trans
ECFFIKGN_00418,509635.N824_24205,1.48e-10,70.1,"2DZS7@1|root,32VHJ@2|Bacteria,4P15U@976|Bacteroidetes,1IVQI@117747|Sphingobacteriia",976|Bacteroidetes,S,Capsular polysaccharide synthesis protein,-,-,-,-,-,-,-,-,-,-,-,-,Caps_synth
ECFFIKGN_00419,7955.ENSDARP00000063151,1.33e-11,72,"KOG4651@1|root,KOG4651@2759|Eukaryota,38CH1@33154|Opisthokonta,3BGMN@33208|Metazoa,3CYG1@33213|Bilateria,487HA@7711|Chordata,499AN@7742|Vertebrata,49YAB@7898|Actinopterygii",33208|Metazoa,G,Carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14,CHST14,"GO:0000139,GO:0001537,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0006022,GO:0006023,GO:0006024,GO:0006029,GO:0006082,GO:0006790,GO:0006807,GO:0008146,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009987,GO:0012505,GO:0016020,GO:0016021,GO:0016053,GO:0016740,GO:0016782,GO:0017144,GO:0019538,GO:0019752,GO:0030166,GO:0030203,GO:0030205,GO:0030208,GO:0031090,GO:0031224,GO:0031984,GO:0032787,GO:0034645,GO:0042301,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044272,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0046394,GO:0050651,GO:0050655,GO:0071704,GO:0072330,GO:0098588,GO:0098791,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:1903510","2.8.2.35,2.8.2.5","ko:K07779,ko:K08105","ko00532,map00532",-,"R02180,R10873","RC00007,RC00231","ko00000,ko00001,ko01000,ko01003",-,-,-,Sulfotransfer_2
ECFFIKGN_00420,394221.Mmar10_1457,2.91e-117,370,"COG5616@1|root,COG5616@2|Bacteria,1NSKC@1224|Proteobacteria,2TWZ1@28211|Alphaproteobacteria,44159@69657|Hyphomonadaceae",28211|Alphaproteobacteria,K,cAMP biosynthetic process,-,-,-,-,-,-,-,-,-,-,-,-,"Guanylate_cyc,Trans_reg_C"
ECFFIKGN_00421,1089550.ATTH01000001_gene2133,3.05e-57,189,"COG3548@1|root,COG3548@2|Bacteria,4NW8Z@976|Bacteroidetes",976|Bacteroidetes,S,Protein of unknown function (DUF1211),-,-,-,-,-,-,-,-,-,-,-,-,DUF1211
ECFFIKGN_00422,1429851.X548_20105,9.999999999999997e-238,662,"COG2224@1|root,COG2224@2|Bacteria,1MWIF@1224|Proteobacteria,1RQAK@1236|Gammaproteobacteria,1X3U8@135614|Xanthomonadales",135614|Xanthomonadales,C,Catalyzes the reversible formation of glyoxylate and succinate from isocitrate,aceA,-,4.1.3.1,ko:K01637,"ko00630,ko01100,ko01110,ko01120,ko01200,map00630,map01100,map01110,map01120,map01200",M00012,R00479,"RC00311,RC00313","ko00000,ko00001,ko00002,ko01000",-,-,-,ICL
ECFFIKGN_00423,1234364.AMSF01000072_gene1778,3.5799999999999994e-185,533,"COG2225@1|root,COG2225@2|Bacteria,1MVEV@1224|Proteobacteria,1RPVI@1236|Gammaproteobacteria,1X3I9@135614|Xanthomonadales",135614|Xanthomonadales,C,Catalyzes the aldol condensation of glyoxylate with acetyl-CoA to form malate as part of the second step of the glyoxylate bypass and an alternative to the tricarboxylic acid cycle,aceB,-,2.3.3.9,ko:K01638,"ko00620,ko00630,ko01100,ko01110,ko01120,ko01200,map00620,map00630,map01100,map01110,map01120,map01200",M00012,R00472,"RC00004,RC00308,RC02747","ko00000,ko00001,ko00002,ko01000",-,-,-,Malate_synthase
ECFFIKGN_00424,1279017.AQYJ01000019_gene1525,2.33e-8,57.8,"2DR2Y@1|root,339YA@2|Bacteria,1NHB7@1224|Proteobacteria,1SDH6@1236|Gammaproteobacteria,4691T@72275|Alteromonadaceae",1236|Gammaproteobacteria,M,Domain of unknown function (DUF4124),-,-,-,-,-,-,-,-,-,-,-,-,DUF4124
ECFFIKGN_00425,1234364.AMSF01000095_gene2535,3.68e-80,249,"COG1183@1|root,COG1183@2|Bacteria,1MWD9@1224|Proteobacteria,1RPBB@1236|Gammaproteobacteria,1X3MH@135614|Xanthomonadales",135614|Xanthomonadales,I,Belongs to the CDP-alcohol phosphatidyltransferase class-I family,-,-,2.7.8.8,ko:K17103,"ko00260,ko00564,ko01100,ko01110,map00260,map00564,map01100,map01110",M00093,R01800,"RC00002,RC00017,RC02795","ko00000,ko00001,ko00002,ko01000",-,-,-,CDP-OH_P_transf
ECFFIKGN_00427,1123377.AUIV01000011_gene2089,2.8e-47,157,"COG0454@1|root,COG0456@2|Bacteria,1RIE6@1224|Proteobacteria,1S9G0@1236|Gammaproteobacteria,1X6EJ@135614|Xanthomonadales",135614|Xanthomonadales,K,Ribosomal-protein-alanine acetyltransferase,rimI,-,2.3.1.128,ko:K03789,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,Acetyltransf_1
ECFFIKGN_00428,1283300.ATXB01000001_gene2176,4.5299999999999995e-191,565,"COG0525@1|root,COG0525@2|Bacteria,1MV7B@1224|Proteobacteria,1RNEB@1236|Gammaproteobacteria,1XEJP@135618|Methylococcales",135618|Methylococcales,J,"amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner",valS,-,6.1.1.9,ko:K01873,"ko00970,map00970","M00359,M00360",R03665,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",-,-,-,"Anticodon_1,Val_tRNA-synt_C,tRNA-synt_1"
ECFFIKGN_00429,314278.NB231_04420,7.019999999999999e-40,134,"COG5304@1|root,COG5304@2|Bacteria,1NBCZ@1224|Proteobacteria,1SCSH@1236|Gammaproteobacteria,1WZ60@135613|Chromatiales",135613|Chromatiales,S,protein conserved in bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-
ECFFIKGN_00430,105559.Nwat_2976,8.57e-38,128,"COG2929@1|root,COG2929@2|Bacteria,1N8PW@1224|Proteobacteria,1SAU5@1236|Gammaproteobacteria,1X12M@135613|Chromatiales",135613|Chromatiales,S,"Ribonuclease toxin, BrnT, of type II toxin-antitoxin system",-,-,-,-,-,-,-,-,-,-,-,-,BrnT_toxin
ECFFIKGN_00431,1384054.N790_02575,3.2399999999999995e-176,503,"COG0045@1|root,COG0045@2|Bacteria,1MVCE@1224|Proteobacteria,1RMSU@1236|Gammaproteobacteria,1X3IA@135614|Xanthomonadales",135614|Xanthomonadales,C,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit",sucC,-,6.2.1.5,ko:K01903,"ko00020,ko00640,ko00660,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map00660,map00720,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00173,M00374,M00620","R00405,R02404","RC00004,RC00014","ko00000,ko00001,ko00002,ko01000",-,-,-,"ATP-grasp_2,Ligase_CoA"
ECFFIKGN_00432,767434.Fraau_2899,1.7499999999999998e-157,447,"COG0074@1|root,COG0074@2|Bacteria,1MUGA@1224|Proteobacteria,1RM7Y@1236|Gammaproteobacteria,1X36R@135614|Xanthomonadales",135614|Xanthomonadales,C,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",sucD,-,6.2.1.5,ko:K01902,"ko00020,ko00640,ko00660,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map00660,map00720,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00173,M00374,M00620","R00405,R02404","RC00004,RC00014","ko00000,ko00001,ko00002,ko01000",-,-,-,"CoA_binding,Ligase_CoA"
ECFFIKGN_00433,402881.Plav_2046,7.78e-10,59.7,"COG4190@1|root,COG4190@2|Bacteria,1N3VQ@1224|Proteobacteria,2UEZ0@28211|Alphaproteobacteria",28211|Alphaproteobacteria,K,Transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,-,HTH_24
ECFFIKGN_00434,1333998.M2A_3291,4.95e-8,53.5,"2E33J@1|root,32Y3P@2|Bacteria,1N9JJ@1224|Proteobacteria,2UFJ8@28211|Alphaproteobacteria",28211|Alphaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ECFFIKGN_00435,1123073.KB899241_gene2833,1.3000000000000002e-246,696,"COG1249@1|root,COG1249@2|Bacteria,1MU2U@1224|Proteobacteria,1RMFF@1236|Gammaproteobacteria,1X3MV@135614|Xanthomonadales",135614|Xanthomonadales,C,dehydrogenase,lpdA,-,1.8.1.4,ko:K00382,"ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00036,M00307,M00532","R00209,R01221,R01698,R03815,R07618,R08549","RC00004,RC00022,RC00583,RC02742,RC02833,RC02834","br01601,ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"Biotin_lipoyl,Pyr_redox_2,Pyr_redox_dim"
ECFFIKGN_00437,247633.GP2143_16771,3.1399999999999995e-179,516,"COG0471@1|root,COG0471@2|Bacteria,1MUSA@1224|Proteobacteria,1RPU5@1236|Gammaproteobacteria",1236|Gammaproteobacteria,P,COG0471 Di- and tricarboxylate transporters,sdcS,-,-,ko:K14445,-,-,-,-,"ko00000,ko02000",2.A.47.1,-,-,Na_sulph_symp
ECFFIKGN_00438,1123073.KB899241_gene2836,7.629999999999999e-147,454,"COG4188@1|root,COG4188@2|Bacteria,1QUVG@1224|Proteobacteria,1T22C@1236|Gammaproteobacteria,1X4WW@135614|Xanthomonadales",135614|Xanthomonadales,S,Bacterial virulence factor lipase N-terminal,-,-,-,-,-,-,-,-,-,-,-,-,Lipase_bact_N
ECFFIKGN_00440,1205753.A989_11294,0,915,"COG3661@1|root,COG3661@2|Bacteria,1MXKA@1224|Proteobacteria,1RP0V@1236|Gammaproteobacteria,1X5RV@135614|Xanthomonadales",135614|Xanthomonadales,G,Belongs to the glycosyl hydrolase 67 family,aguA,-,3.2.1.139,ko:K01235,-,-,-,-,"ko00000,ko01000",-,-,-,"Glyco_hydro_67C,Glyco_hydro_67M,Glyco_hydro_67N"
ECFFIKGN_00441,1300345.LF41_868,4.0199999999999997e-38,145,"2E7DT@1|root,331WV@2|Bacteria,1N9K6@1224|Proteobacteria,1T0Q4@1236|Gammaproteobacteria,1XD17@135614|Xanthomonadales",135614|Xanthomonadales,-,-,-,-,-,ko:K01992,-,M00254,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,-
ECFFIKGN_00442,1123073.KB899242_gene1422,3.27e-129,377,"COG1131@1|root,COG1131@2|Bacteria,1R3XF@1224|Proteobacteria,1S0MM@1236|Gammaproteobacteria,1X3B4@135614|Xanthomonadales",135614|Xanthomonadales,V,abc transporter atp-binding protein,nodI,-,-,ko:K01990,-,M00254,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,ABC_tran
ECFFIKGN_00443,1500890.JQNL01000001_gene473,5.74e-49,159,"COG1725@1|root,COG1725@2|Bacteria,1MZG9@1224|Proteobacteria,1S993@1236|Gammaproteobacteria,1X6MY@135614|Xanthomonadales",135614|Xanthomonadales,K,GntR family transcriptional regulator,-,-,-,ko:K07979,-,-,-,-,"ko00000,ko03000",-,-,-,GntR
ECFFIKGN_00445,717774.Marme_0649,2.72e-69,219,"COG0545@1|root,COG0545@2|Bacteria,1RDA1@1224|Proteobacteria,1RPMP@1236|Gammaproteobacteria,1XJNV@135619|Oceanospirillales",135619|Oceanospirillales,M,Peptidyl-prolyl cis-trans isomerase,-,-,5.2.1.8,"ko:K03772,ko:K03773",-,-,-,-,"ko00000,ko01000,ko03110",-,-,-,"FKBP_C,FKBP_N"
ECFFIKGN_00447,1000565.METUNv1_01137,9.969999999999999e-88,265,"28MZJ@1|root,2ZB69@2|Bacteria,1R6VF@1224|Proteobacteria,2VR02@28216|Betaproteobacteria",28216|Betaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ECFFIKGN_00448,1000565.METUNv1_01136,8.499999999999999e-212,606,"COG0001@1|root,COG0001@2|Bacteria,1MUY5@1224|Proteobacteria,2VHK9@28216|Betaproteobacteria,2KUUJ@206389|Rhodocyclales",28216|Betaproteobacteria,H,Aminotransferase,-,-,5.4.3.8,ko:K01845,"ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120",M00121,R02272,RC00677,"ko00000,ko00001,ko00002,ko01000,ko01007",-,-,-,Aminotran_3
ECFFIKGN_00449,1266909.AUAG01000023_gene28,4.64e-36,124,"COG4327@1|root,COG4327@2|Bacteria,1N0TK@1224|Proteobacteria,1S8V9@1236|Gammaproteobacteria,1WZ1D@135613|Chromatiales",135613|Chromatiales,S,"solute sodium symporter, small subunit",-,-,-,-,-,-,-,-,-,-,-,-,DUF4212
ECFFIKGN_00451,926569.ANT_08030,1.64e-59,218,"COG1361@1|root,COG3764@1|root,COG1361@2|Bacteria,COG3764@2|Bacteria,2G854@200795|Chloroflexi",200795|Chloroflexi,M,Domain of unknown function DUF11,-,-,-,-,-,-,-,-,-,-,-,-,DUF11
ECFFIKGN_00452,1313304.CALK_1414,2.13e-79,256,"COG3509@1|root,COG3509@2|Bacteria",2|Bacteria,Q,xylan catabolic process,-,-,-,ko:K03932,-,-,-,-,ko00000,-,CE1,-,"Abhydrolase_2,Esterase_phd"
ECFFIKGN_00453,1384056.N787_06680,5.27e-56,181,"2FI27@1|root,349V2@2|Bacteria,1P2SK@1224|Proteobacteria,1ST3D@1236|Gammaproteobacteria,1XBSQ@135614|Xanthomonadales",135614|Xanthomonadales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ECFFIKGN_00454,247639.MGP2080_07097,4.489999999999999e-137,405,"COG1680@1|root,COG1680@2|Bacteria,1P3SQ@1224|Proteobacteria,1RRMI@1236|Gammaproteobacteria,1J7Y5@118884|unclassified Gammaproteobacteria",1236|Gammaproteobacteria,V,COG1680 Beta-lactamase class C and other penicillin binding proteins,nylB,-,-,-,-,-,-,-,-,-,-,-,Beta-lactamase
ECFFIKGN_00456,243233.MCA1876,9.479999999999999e-153,440,"COG1897@1|root,COG1897@2|Bacteria,1MV64@1224|Proteobacteria,1RM7T@1236|Gammaproteobacteria,1XE2G@135618|Methylococcales",135618|Methylococcales,E,"Transfers a succinyl group from succinyl-CoA to L- homoserine, forming succinyl-L-homoserine",metAS,"GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008374,GO:0008652,GO:0008899,GO:0009058,GO:0009066,GO:0009067,GO:0009086,GO:0009987,GO:0016053,GO:0016740,GO:0016746,GO:0016747,GO:0016748,GO:0016750,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",2.3.1.46,ko:K00651,"ko00270,ko00920,ko01100,ko01110,ko01230,map00270,map00920,map01100,map01110,map01230",M00017,R01777,"RC00004,RC00041","ko00000,ko00001,ko00002,ko01000",-,-,-,HTS
ECFFIKGN_00457,930169.B5T_01275,1.61e-81,246,"COG4430@1|root,COG4430@2|Bacteria,1RGC9@1224|Proteobacteria,1S3G2@1236|Gammaproteobacteria",1236|Gammaproteobacteria,S,Domain of unknown function (DUF1905),-,-,-,-,-,-,-,-,-,-,-,-,"DUF1905,OmdA"
ECFFIKGN_00460,1096769.Pelub83DRAFT_0415,2.0300000000000002e-29,105,"2FDFA@1|root,345GY@2|Bacteria,1P1RR@1224|Proteobacteria",1224|Proteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ECFFIKGN_00461,1189612.A33Q_2974,1.92e-16,74.3,"2EFW8@1|root,339NG@2|Bacteria,4NXQM@976|Bacteroidetes,47W8Q@768503|Cytophagia",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ECFFIKGN_00462,376733.IT41_02465,8.26e-25,94.7,"COG2991@1|root,COG2991@2|Bacteria,1N4NN@1224|Proteobacteria,2UCSI@28211|Alphaproteobacteria,2PYZB@265|Paracoccus",28211|Alphaproteobacteria,S,(Na+)-NQR maturation NqrM,-,-,-,ko:K05952,-,-,-,-,ko00000,-,-,-,NqrM
ECFFIKGN_00463,644107.SL1157_A0095,5.31e-228,639,"COG1726@1|root,COG1726@2|Bacteria,1MU36@1224|Proteobacteria,2TSSX@28211|Alphaproteobacteria,4NBB5@97050|Ruegeria",28211|Alphaproteobacteria,C,"NQR complex catalyzes the reduction of ubiquinone-1 to ubiquinol by two successive reactions, coupled with the transport of Na( ) ions from the cytoplasm to the periplasm. NqrA to NqrE are probably involved in the second step, the conversion of ubisemiquinone to ubiquinol",nqrA,-,1.6.5.8,ko:K00346,-,-,-,-,"ko00000,ko01000",-,-,-,"NQRA,NQRA_SLBB"
ECFFIKGN_00464,566466.NOR53_958,2.91e-239,673,"COG0318@1|root,COG0318@2|Bacteria,1R5I6@1224|Proteobacteria,1RNFC@1236|Gammaproteobacteria,1J9ZS@118884|unclassified Gammaproteobacteria",1236|Gammaproteobacteria,IQ,AMP-binding enzyme,-,-,6.1.3.1,ko:K22319,-,-,-,-,"ko00000,ko01000",-,-,-,AMP-binding
ECFFIKGN_00465,566466.NOR53_858,1.72e-154,443,"COG0451@1|root,COG0451@2|Bacteria,1P603@1224|Proteobacteria,1RQ2R@1236|Gammaproteobacteria,1JA8Y@118884|unclassified Gammaproteobacteria",1236|Gammaproteobacteria,M,NAD(P)H-binding,cdh1,-,1.1.1.412,ko:K22320,-,-,-,-,"ko00000,ko01000",-,-,-,3Beta_HSD
ECFFIKGN_00466,1384054.N790_06870,1.79e-71,247,"COG0739@1|root,COG0739@2|Bacteria,1PVZJ@1224|Proteobacteria,1T9KK@1236|Gammaproteobacteria,1X95Z@135614|Xanthomonadales",135614|Xanthomonadales,M,Peptidase family M23,-,-,-,-,-,-,-,-,-,-,-,-,Peptidase_M23
ECFFIKGN_00467,248742.XP_005642866.1,1.65e-4,50.4,"2CV79@1|root,2RRG1@2759|Eukaryota,37XW3@33090|Viridiplantae",33090|Viridiplantae,S,Protein kinase domain,-,-,-,-,-,-,-,-,-,-,-,-,Pkinase
ECFFIKGN_00468,247639.MGP2080_11993,1.31e-248,692,"COG1228@1|root,COG1228@2|Bacteria,1MXXR@1224|Proteobacteria,1RRK7@1236|Gammaproteobacteria,1J7PK@118884|unclassified Gammaproteobacteria",1236|Gammaproteobacteria,Q,COG1228 Imidazolonepropionase and related amidohydrolases,-,-,-,-,-,-,-,-,-,-,-,-,"Amidohydro_1,Amidohydro_3"
ECFFIKGN_00469,1156919.QWC_18652,6.059999999999998e-55,180,"2C852@1|root,32YB2@2|Bacteria,1RH28@1224|Proteobacteria,2VSQ3@28216|Betaproteobacteria,3T6ZC@506|Alcaligenaceae",28216|Betaproteobacteria,S,Domain of unknown function (DUF4136),-,-,-,-,-,-,-,-,-,-,-,-,DUF4136
ECFFIKGN_00470,1217718.ALOU01000007_gene1259,5.2499999999999993e-110,331,"COG2370@1|root,COG2370@2|Bacteria,1MV6Z@1224|Proteobacteria,2VM5U@28216|Betaproteobacteria,1KF02@119060|Burkholderiaceae",28216|Betaproteobacteria,O,HupE / UreJ protein,-,-,-,-,-,-,-,-,-,-,-,-,HupE_UreJ_2
ECFFIKGN_00471,1500301.JQMF01000022_gene5641,3.74e-73,233,"COG0760@1|root,COG0760@2|Bacteria,1R4ZR@1224|Proteobacteria,2U874@28211|Alphaproteobacteria,4B9DE@82115|Rhizobiaceae",28211|Alphaproteobacteria,O,PPIC-type PPIASE domain,-,-,5.2.1.8,ko:K03769,-,-,-,-,"ko00000,ko01000,ko03110",-,-,-,Rotamase_2
ECFFIKGN_00472,1294143.H681_01515,1.5699999999999997e-23,103,"COG4313@1|root,COG4313@2|Bacteria,1MWCX@1224|Proteobacteria,1S4A1@1236|Gammaproteobacteria",1236|Gammaproteobacteria,C,COG4313 Protein involved in meta-pathway of phenol degradation,-,-,-,-,-,-,-,-,-,-,-,-,Phenol_MetA_deg
ECFFIKGN_00473,1346791.M529_19615,2.8800000000000002e-64,229,"COG0457@1|root,COG0457@2|Bacteria,1N06S@1224|Proteobacteria,2TQVV@28211|Alphaproteobacteria,2K2KZ@204457|Sphingomonadales",204457|Sphingomonadales,S,MTH538 TIR-like domain (DUF1863),-,-,-,-,-,-,-,-,-,-,-,-,DUF1863
ECFFIKGN_00475,247633.GP2143_07219,8.59e-16,73.2,"COG3100@1|root,COG3100@2|Bacteria,1N83J@1224|Proteobacteria,1SCCD@1236|Gammaproteobacteria,1J6Y6@118884|unclassified Gammaproteobacteria",1236|Gammaproteobacteria,S,YcgL domain-containing protein,ycgL,-,-,ko:K09902,-,-,-,-,ko00000,-,-,-,YcgL
ECFFIKGN_00476,765914.ThisiDRAFT_2424,2.1599999999999997e-107,323,"COG1052@1|root,COG1052@2|Bacteria,1MU2D@1224|Proteobacteria,1RPM1@1236|Gammaproteobacteria,1WW4Q@135613|Chromatiales",135613|Chromatiales,CH,D-isomer specific 2-hydroxyacid dehydrogenase,-,-,1.1.1.29,ko:K00018,"ko00260,ko00630,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,map00260,map00630,map00680,map01100,map01110,map01120,map01130,map01200",M00346,"R00717,R01388","RC00031,RC00042","ko00000,ko00001,ko00002,ko01000",-,-,-,"2-Hacid_dh,2-Hacid_dh_C"
ECFFIKGN_00477,1411685.U062_01513,4.58e-30,112,"COG0848@1|root,COG0848@2|Bacteria,1RHQ3@1224|Proteobacteria,1S7BK@1236|Gammaproteobacteria,1JBZW@118884|unclassified Gammaproteobacteria",1236|Gammaproteobacteria,U,Biopolymer transport protein ExbD/TolR,-,-,-,ko:K03559,-,-,-,-,"ko00000,ko02000",1.A.30.2.1,-,-,ExbD
ECFFIKGN_00478,713587.THITH_02395,1.81e-114,340,"COG0189@1|root,COG0189@2|Bacteria,1MVDU@1224|Proteobacteria,1RR7D@1236|Gammaproteobacteria,1X01T@135613|Chromatiales",135613|Chromatiales,HJ,TIGRFAM alpha-L-glutamate ligase-like protein,-,-,-,-,-,-,-,-,-,-,-,-,ATPgrasp_ST
ECFFIKGN_00479,396588.Tgr7_2936,1.52e-149,444,"COG1305@1|root,COG1305@2|Bacteria,1MVV3@1224|Proteobacteria,1RRIA@1236|Gammaproteobacteria,1X0CC@135613|Chromatiales",135613|Chromatiales,E,7 transmembrane helices usually fused to an inactive transglutaminase,-,-,-,-,-,-,-,-,-,-,-,-,"7TM_transglut,Transglut_i_TM"
ECFFIKGN_00480,713586.KB900536_gene1725,7.35e-28,112,"COG4067@1|root,COG4067@2|Bacteria",2|Bacteria,O,ligase activity,-,-,-,-,-,-,-,-,-,-,-,-,Zn_protease
ECFFIKGN_00482,1163408.UU9_14525,2.73e-179,516,"COG1207@1|root,COG1207@2|Bacteria,1MUPH@1224|Proteobacteria,1RNKE@1236|Gammaproteobacteria,1X2YF@135614|Xanthomonadales",135614|Xanthomonadales,M,"Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain",glmU,-,"2.3.1.157,2.7.7.23",ko:K04042,"ko00520,ko01100,ko01130,map00520,map01100,map01130",M00362,"R00416,R05332","RC00002,RC00004,RC00166","ko00000,ko00001,ko00002,ko01000",-,-,-,"Hexapep,NTP_transf_3"
ECFFIKGN_00483,1042377.AFPJ01000054_gene1715,5.49e-219,633,"COG0823@1|root,COG1506@1|root,COG0823@2|Bacteria,COG1506@2|Bacteria,1MUJ3@1224|Proteobacteria,1RRN4@1236|Gammaproteobacteria,4674P@72275|Alteromonadaceae",1236|Gammaproteobacteria,EU,"Prolyl oligopeptidase, N-terminal beta-propeller domain",-,-,-,-,-,-,-,-,-,-,-,-,"PD40,Peptidase_S9,Peptidase_S9_N"
ECFFIKGN_00484,1384056.N787_11925,1.4699999999999998e-35,130,"COG2068@1|root,COG2068@2|Bacteria,1QE5K@1224|Proteobacteria,1S4PF@1236|Gammaproteobacteria,1X6WS@135614|Xanthomonadales",135614|Xanthomonadales,S,MobA-like NTP transferase domain,-,-,2.7.7.76,ko:K07141,"ko00790,map00790",-,R11582,-,"ko00000,ko00001,ko01000",-,-,-,NTP_transf_3
ECFFIKGN_00485,697282.Mettu_4101,4.52e-66,220,"COG1975@1|root,COG1975@2|Bacteria,1MXKU@1224|Proteobacteria,1RQRT@1236|Gammaproteobacteria,1XGCF@135618|Methylococcales",135618|Methylococcales,C,XdhC and CoxI family,-,-,-,-,-,-,-,-,-,-,-,-,"XdhC_C,XdhC_CoxI"
ECFFIKGN_00486,1265313.HRUBRA_00686,1.23e-34,125,"COG2020@1|root,COG2020@2|Bacteria,1MZ7S@1224|Proteobacteria,1S8Y4@1236|Gammaproteobacteria,1JBFQ@118884|unclassified Gammaproteobacteria",1236|Gammaproteobacteria,O,Phospholipid methyltransferase,-,-,-,-,-,-,-,-,-,-,-,-,PEMT
ECFFIKGN_00487,394221.Mmar10_2831,3.26e-8,57.8,"2E902@1|root,3339H@2|Bacteria,1N9U6@1224|Proteobacteria,2UFG4@28211|Alphaproteobacteria,43YX4@69657|Hyphomonadaceae",28211|Alphaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ECFFIKGN_00488,1317122.ATO12_01910,2.51e-25,101,"2C7KN@1|root,32RJD@2|Bacteria,4NR1V@976|Bacteroidetes,1I42C@117743|Flavobacteriia,2YJFG@290174|Aquimarina",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
